"Country","Sex","Age","Year","l5","LT_ID3","LT_ID2","at_risk","AgeInt","dx","qx","atRisk","n_events","events","haz","S_t","S_t_new","seS_t","seS","LT_ID","protein.kcal","abp.kcal","pbp.kcal","fat.kcal","carb.kcal","GDP","age_sex"
"ALB","Females",5,1969,0.88796,"ALB_1969_2_5","ALB_1969_2",156,5,0.00417999999999996,0.00470741925311947,156000,734.357403486637,734.357403486637,0.00470741925311947,0.88378,0.88796,0.00154970436202576,0.00154970436202576,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"5_2"
"ALB","Females",5,1979,0.90853,"ALB_1979_2_5","ALB_1979_2",166,5,0.00290999999999997,0.00320297623633779,166000,531.694055232072,531.694055232072,0.00320297623633779,0.90562,0.90853,0.00138817555841798,0.00138817555841798,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"5_2"
"ALB","Females",5,1989,0.94173,"ALB_1989_2_5","ALB_1989_2",170,5,0.00337999999999994,0.00358913913754467,170000,610.153653382593,610.153653382593,0.00358913913754467,0.93835,0.94173,0.00106950181591509,0.00106950181591509,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"5_2"
"ALB","Females",5,2011,0.9816,"ALB_2011_2_5","ALB_2011_2",88,5,0.00148000000000004,0.00150774246128773,88000,132.68133659332,132.68133659332,0.00150774246128773,0.98012,0.9816,0.000947529650050745,0.000947529650050745,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"5_2"
"ARE","Females",5,1998,0.98105,"ARE_1998_2_5","ARE_1998_2",107,5,0.00325999999999993,0.00332297028693739,107000,355.557820702301,355.557820702301,0.00332297028693739,0.97779,0.98105,0.000781391899106951,0.000781391899106951,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"5_2"
"ARG","Females",5,1961,0.93259,"ARG_1961_2_5","ARG_1961_2",1054,5,0.00352000000000008,0.00377443463901616,1054000,3978.25410952303,3978.25410952303,0.00377443463901616,0.92907,0.93259,0.00048406948251996,0.000484069482519959,"ARG_1961",422.88,261.36,161.56,843.48,1651.64,9344,"5_2"
"ARG","Females",5,1970,0.94119,"ARG_1970_2_5","ARG_1970_2",1149,5,0.00269999999999992,0.00286870876231146,1149000,3296.14636789587,3296.14636789587,0.00286870876231146,0.93849,0.94119,0.000429457717145927,0.000429457717145927,"ARG_1970",423.44,269.68,153.8,999.18,1690.38,11639,"5_2"
"ARG","Females",5,1980,0.96319,"ARG_1980_2_5","ARG_1980_2",1410,5,0.00157499999999999,0.0016351913952595,1410000,2305.61986731589,2305.61986731589,0.00163519139525949,0.961615,0.96319,0.000314825676047867,0.000314825676047867,"ARG_1980",425.88,289.68,136.24,1050.66,1540.46,13080,"5_2"
"ARG","Females",5,1990,0.97303,"ARG_1990_2_5","ARG_1990_2",1618,5,0.00147999999999993,0.0015210219623238,1618000,2461.01353503991,2461.01353503991,0.0015210219623238,0.97155,0.97303,0.000263140159441049,0.000263140159441049,"ARG_1990",367.28,234.68,132.6,896.58,1515.14,10254,"5_2"
"ARG","Females",5,1991,0.97392,"ARG_1991_2_5","ARG_1991_2",1619,5,0.00136999999999998,0.00140668638081155,1619000,2277.4252505339,2277.4252505339,0.00140668638081155,0.97255,0.97392,0.000257348075964789,0.000257348075964789,"ARG_1991",380.36,241.72,138.64,942.93,1544.71,11224,"5_2"
