"Country","Sex","Age","Year","l5","LT_ID3","LT_ID2","at_risk","AgeInt","dx","qx","atRisk","n_events","events","haz","S_t","S_t_new","seS_t","seS","LT_ID","protein.kcal","abp.kcal","pbp.kcal","fat.kcal","carb.kcal","GDP","age_sex"
"ALB","Males",5,1969,0.89326,"ALB_1969_1_5","ALB_1969_1",172,5,0.0053200000000001,0.0059557127823927,172000,1024.38259857154,1024.38259857154,0.0059557127823927,0.88794,0.89326,0.00149536056332651,0.00149536056332651,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"5_1"
"ALB","Males",5,1979,0.91126,"ALB_1979_1_5","ALB_1979_1",185,5,0.00415999999999994,0.00456510765313954,185000,844.544915830816,844.544915830816,0.00456510765313954,0.9071,0.91126,0.00132406538148655,0.00132406538148655,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"5_1"
"ALB","Males",5,1989,0.93833,"ALB_1989_1_5","ALB_1989_1",182,5,0.00432999999999995,0.00461458122408955,182000,839.853782784298,839.853782784298,0.00461458122408955,0.934,0.93833,0.00106946938427875,0.00106946938427875,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"5_1"
"ALB","Males",5,2011,0.97841,"ALB_2011_1_5","ALB_2011_1",96,5,0.00122,0.0012469210249282,96000,119.704418393107,119.704418393107,0.0012469210249282,0.97719,0.97841,0.000983361429102434,0.000983361429102434,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"5_1"
"ARE","Males",5,1998,0.98098,"ARE_1998_1_5","ARE_1998_1",115,5,0.00284999999999991,0.00290525800729873,115000,334.104670839354,334.104670839354,0.00290525800729873,0.97813,0.98098,0.000747220416877296,0.000747220416877296,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"5_1"
"ARG","Males",5,1961,0.92373,"ARG_1961_1_5","ARG_1961_1",1088,5,0.00459000000000009,0.00496898444350632,1088000,5406.25507453488,5406.25507453488,0.00496898444350632,0.91914,0.92373,0.000510423638507865,0.000510423638507865,"ARG_1961",422.88,261.36,161.56,843.48,1651.64,9344,"5_1"
"ARG","Males",5,1970,0.93217,"ARG_1970_1_5","ARG_1970_1",1186,5,0.00351000000000001,0.00376540759732668,1186000,4465.77341042944,4465.77341042944,0.00376540759732668,0.92866,0.93217,0.000457333040957952,0.000457333040957952,"ARG_1970",423.44,269.68,153.8,999.18,1690.38,11639,"5_1"
"ARG","Males",5,1980,0.955615,"ARG_1980_1_5","ARG_1980_1",1444,5,0.00206500000000009,0.00216091208279495,1444000,3120.35704755591,3120.35704755591,0.00216091208279495,0.95355,0.955615,0.000339227800974664,0.000339227800974664,"ARG_1980",425.88,289.68,136.24,1050.66,1540.46,13080,"5_1"
"ARG","Males",5,1990,0.96697,"ARG_1990_1_5","ARG_1990_1",1682,5,0.00197999999999998,0.00204763332885196,1682000,3444.119259129,3444.119259129,0.00204763332885196,0.96499,0.96697,0.000285287376195465,0.000285287376195465,"ARG_1990",367.28,234.68,132.6,896.58,1515.14,10254,"5_1"
"ARG","Males",5,1991,0.96834,"ARG_1991_1_5","ARG_1991_1",1685,5,0.00180000000000002,0.00185885122993992,1685000,3132.16432244877,3132.16432244877,0.00185885122993992,0.96654,0.96834,0.000277541889313536,0.000277541889313536,"ARG_1991",380.36,241.72,138.64,942.93,1544.71,11224,"5_1"
"ARG","Males",5,2000,0.9773,"ARG_2000_1_5","ARG_2000_1",1816,5,0.00173000000000001,0.00177018315767933,1816000,3214.65261434566,3214.65261434566,0.00177018315767933,0.97557,0.9773,0.000237194990627821,0.000237194990627821,"ARG_2000",419.16,270.92,148.24,1048.41,1682.43,14369,"5_1"
"ARG","Males",5,2009,0.98418,"ARG_2009_1_5","ARG_2009_1",1785,5,0.00131000000000003,0.00133105732691178,1785000,2375.93732853752,2375.93732853752,0.00133105732691178,0.98287,0.98418,0.000195329520345586,0.000195329520345586,"ARG_2009",393.48,253.32,140.16,998.37,1634.15,17329,"5_1"
"ARG","Males",5,2010,0.98131,"ARG_2010_1_5","ARG_2010_1",1783,5,0.00146999999999997,0.00149799757467056,1783000,2670.92967563762,2670.92967563762,0.00149799757467056,0.97984,0.98131,0.000212489292533305,0.000212489292533305,"ARG_2010",400.08,251.16,148.94,974.295,1684.125,18980,"5_1"
"AUS","Males",5,1961,0.97315,"AUS_1961_1_5","AUS_1961_1",536,5,0.00252999999999992,0.00259980475774538,536000,1393.49535015153,1393.49535015153,0.00259980475774538,0.97062,0.97315,0.000443203654158568,0.000443203654158568,"AUS_1961",419.56,271.8,147.76,1001.97,1544.47,13793,"5_1"
"AUS","Males",5,1963,0.97425,"AUS_1963_1_5","AUS_1963_1",553,5,0.00241999999999998,0.00248396202206823,553000,1373.63099820373,1373.63099820373,0.00248396202206823,0.97183,0.97425,0.000436530520310402,0.000436530520310402,"AUS_1963",436.32,282.52,153.8,1009.17,1592.51,14983,"5_1"
"AUS","Males",5,1964,0.97482,"AUS_1964_1_5","AUS_1964_1",565,5,0.00258999999999998,0.00265690076116614,565000,1501.14893005887,1501.14893005887,0.00265690076116614,0.97223,0.97482,0.000432547189808232,0.000432547189808232,"AUS_1964",441.04,290.04,151,995.13,1573.83,15699,"5_1"
"AUS","Males",5,1965,0.97535,"AUS_1965_1_5","AUS_1965_1",581,5,0.00209000000000004,0.00214282052596508,581000,1244.97872558571,1244.97872558571,0.00214282052596508,0.97326,0.97535,0.00043161980163828,0.00043161980163828,"AUS_1965",431.24,285.12,146.12,992.34,1534.42,16182,"5_1"
"AUS","Males",5,1966,0.97481,"AUS_1966_1_5","AUS_1966_1",597,5,0.00222999999999995,0.00228762528082391,597000,1365.71229265187,1365.71229265187,0.00228762528082391,0.97258,0.97481,0.000436456200977666,0.000436456200977666,"AUS_1966",444.32,284.8,159.52,992.79,1594.89,16324,"5_1"
"AUS","Males",5,1971,0.97661,"AUS_1971_1_5","AUS_1971_1",635,5,0.00224000000000002,0.00229364843694005,635000,1456.46675745693,1456.46675745693,0.00229364843694005,0.97437,0.97661,0.000393254994015245,0.000393254994015245,"AUS_1971",435.44,285.44,150,1030.59,1557.97,19590,"5_1"
"AUS","Males",5,1976,0.98185,"AUS_1976_1_5","AUS_1976_1",656,5,0.00180999999999998,0.00184345877679888,656000,1209.30895758006,1209.30895758006,0.00184345877679888,0.98004,0.98185,0.000366416527982371,0.000366416527982371,"AUS_1976",450.88,314.44,136.4,1007.28,1475.84,21613,"5_1"
"AUS","Males",5,1979,0.98488,"AUS_1979_1_5","AUS_1979_1",674,5,0.00151000000000001,0.00153318170741614,674000,1033.36447079848,1033.36447079848,0.00153318170741614,0.98337,0.98488,0.000340378549420827,0.000340378549420827,"AUS_1979",420.92,284.68,136.24,997.2,1406.88,22826,"5_1"
"AUS","Males",5,1981,0.98588,"AUS_1981_1_5","AUS_1981_1",649,5,0.00163000000000002,0.00165334523471418,649000,1073.02105732951,1073.02105732951,0.00165334523471418,0.98425,0.98588,0.000321944975424673,0.000321944975424673,"AUS_1981",414.36,276.12,138.24,1016.46,1452.18,23368,"5_1"
"AUS","Males",5,1982,0.9857,"AUS_1982_1_5","AUS_1982_1",633,5,0.00175999999999998,0.00178553312366844,633000,1130.24246728212,1130.24246728212,0.00178553312366844,0.98394,0.9857,0.000320462249025982,0.000320462249025982,"AUS_1982",427.2,284.52,142.64,1046.79,1444.01,22972,"5_1"
"AUS","Males",5,1983,0.98712,"AUS_1983_1_5","AUS_1983_1",620,5,0.00148999999999999,0.00150944160790987,620000,935.85379690412,935.85379690412,0.00150944160790987,0.98563,0.98712,0.000301750213897804,0.000301750213897804,"AUS_1983",415.68,277.12,138.56,1022.31,1415.01,22697,"5_1"
