"Country","Sex","Age","Year","lx","LT_ID3","LT_ID2","at_risk","AgeInt","dx","qx","atRisk","n_events","events","haz","S_t","S_t_new","seS_t","seS","LT_ID","protein.kcal","abp.kcal","pbp.kcal","fat.kcal","carb.kcal","GDP","age_sex"
"ALB","1",5,1969,0.89326,"ALB_1969_1_5","ALB_1969_1",172,5,0.0053200000000001,0.0059557127823927,172000,1024.38259857154,1024.38259857154,0.0059557127823927,0.88794,0.89326,0.00149536056332651,0.00149536056332651,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"5_1"
"ALB","1",5,1979,0.91126,"ALB_1979_1_5","ALB_1979_1",185,5,0.00415999999999994,0.00456510765313954,185000,844.544915830816,844.544915830816,0.00456510765313954,0.9071,0.91126,0.00132406538148655,0.00132406538148655,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"5_1"
"ALB","1",5,1989,0.93833,"ALB_1989_1_5","ALB_1989_1",182,5,0.00432999999999995,0.00461458122408955,182000,839.853782784298,839.853782784298,0.00461458122408955,0.934,0.93833,0.00106946938427875,0.00106946938427875,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"5_1"
"ALB","1",5,2011,0.97841,"ALB_2011_1_5","ALB_2011_1",96,5,0.00122,0.0012469210249282,96000,119.704418393107,119.704418393107,0.0012469210249282,0.97719,0.97841,0.000983361429102434,0.000983361429102434,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"5_1"
"ALB","2",5,1969,0.88796,"ALB_1969_2_5","ALB_1969_2",156,5,0.00417999999999996,0.00470741925311947,156000,734.357403486637,734.357403486637,0.00470741925311947,0.88378,0.88796,0.00154970436202576,0.00154970436202576,"ALB_1969",275.88,73.08,202.76,437.94,1669.18,3080,"5_2"
"ALB","2",5,1979,0.90853,"ALB_1979_2_5","ALB_1979_2",166,5,0.00290999999999997,0.00320297623633779,166000,531.694055232072,531.694055232072,0.00320297623633779,0.90562,0.90853,0.00138817555841798,0.00138817555841798,"ALB_1979",303.16,85.6,217.56,550.08,1734.76,3716,"5_2"
"ALB","2",5,1989,0.94173,"ALB_1989_2_5","ALB_1989_2",170,5,0.00337999999999994,0.00358913913754467,170000,610.153653382593,610.153653382593,0.00358913913754467,0.93835,0.94173,0.00106950181591509,0.00106950181591509,"ALB_1989",308.08,87.84,220.24,550.8,1685.12,3948,"5_2"
"ALB","2",5,2011,0.9816,"ALB_2011_2_5","ALB_2011_2",88,5,0.00148000000000004,0.00150774246128773,88000,132.68133659332,132.68133659332,0.00150774246128773,0.98012,0.9816,0.000947529650050745,0.000947529650050745,"ALB_2011",433.26,224.54,208.72,934.065,1747.675,9484,"5_2"
"ARE","1",5,1998,0.98098,"ARE_1998_1_5","ARE_1998_1",115,5,0.00284999999999991,0.00290525800729873,115000,334.104670839354,334.104670839354,0.00290525800729873,0.97813,0.98098,0.000747220416877296,0.000747220416877296,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"5_1"
"ARE","2",5,1998,0.98105,"ARE_1998_2_5","ARE_1998_2",107,5,0.00325999999999993,0.00332297028693739,107000,355.557820702301,355.557820702301,0.00332297028693739,0.97779,0.98105,0.000781391899106951,0.000781391899106951,"ARE_1998",429.04,203.2,225.84,888.39,1992.57,39668,"5_2"
