"ID","Country","Year","seS_t","Protein_Total_2901_g","Animal_Protein_2941_kcal","Carbohydrate_kcal","Fat_Total_2901_kcal","Vegetal_Protein_2903_kcal","GDP_perCapita","l5","l60","Sex"
"ALB_1969","ALB","1969",0.00151661518833886,68.97,73.0800000000001,1669.18,437.94,202.76,3080.00000000001,0.89326,0.73142,"Males"
"ALB_1979","ALB","1979",0.00133868687299525,75.79,85.6,1734.76,550.08,217.56,3716.00000000001,0.91126,0.76921,"Males"
"ALB_1989","ALB","1989",0.00107546507681129,77.02,87.84,1685.12,550.8,220.24,3948,0.93833,0.80944,"Males"
"ALB_2011","ALB","2011",0.000982283307338558,108.315,224.54,1747.675,934.065,208.72,9484.00000000001,0.97841,0.86951,"Males"
"ARE_1998","ARE","1998",0.000735088176526732,107.26,203.2,1992.57,888.39,225.84,39668,0.98098,0.80483,"Males"
"ARG_1961","ARG","1961",0.000513833447670821,105.72,261.36,1651.64,843.48,161.56,9344,0.92373,0.69189,"Males"
"ARG_1970","ARG","1970",0.000459514933964654,105.86,269.68,1690.38,999.18,153.8,11639,0.93217,0.69501,"Males"
"ARG_1980","ARG","1980",0.000338921595020046,106.47,289.68,1540.46,1050.66,136.24,13080,0.955615,0.807145,"Males"
"ARG_1990","ARG","1990",0.000284605412731858,91.82,234.68,1515.14,896.58,132.6,10254,0.96697,0.76411,"Males"
"ARG_1991","ARG","1991",0.000276901213809819,95.09,241.72,1544.71,942.93,138.64,11224,0.96834,0.76799,"Males"
"ARG_2000","ARG","2000",0.000235893448035942,104.79,270.92,1682.43,1048.41,148.24,14369,0.9773,0.796,"Males"
"ARG_2009","ARG","2009",0.000193950933072593,98.37,253.32,1634.15,998.37,140.16,17329,0.98418,0.82349,"Males"
"ARG_2010","ARG","2010",0.00021111697532824,100.02,251.16,1684.125,974.295,148.94,18980,0.98131,0.81936,"Males"
"AUS_1961","AUS","1961",0.000439984548139535,104.89,271.8,1544.47,1001.97,147.76,13793,0.97315,0.77456,"Males"
"AUS_1963","AUS","1963",0.000433330595873973,109.08,282.52,1592.51,1009.17,153.8,14983,0.97425,0.77364,"Males"
"AUS_1964","AUS","1964",0.000429177719788578,110.26,290.04,1573.83,995.13,151,15699,0.97482,0.76824,"Males"
"AUS_1965","AUS","1965",0.000429363856104064,107.81,285.12,1534.42,992.34,146.12,16182,0.97535,0.77058,"Males"
"AUS_1966","AUS","1966",0.000434144026376681,111.08,284.8,1594.89,992.79,159.52,16324,0.97481,0.77043,"Males"
"AUS_1971","AUS","1971",0.000390392764100171,108.86,285.44,1557.97,1030.59,150,19590,0.97661,0.77574,"Males"
"AUS_1976","AUS","1976",0.000363853998999336,112.72,314.44,1475.84,1007.28,136.4,21613,0.98185,0.79698,"Males"
"AUS_1979","AUS","1979",0.000337989570957883,105.23,284.68,1406.88,997.2,136.24,22826,0.98488,0.81633,"Males"
"AUS_1981","AUS","1981",0.000318924718891366,103.59,276.12,1452.18,1016.46,138.24,23368,0.98588,0.82433,"Males"
"AUS_1982","AUS","1982",0.000317012269687819,106.8,284.52,1444.01,1046.79,142.64,22972,0.9857,0.82743,"Males"
"AUS_1983","AUS","1983",0.000298520461072978,103.92,277.12,1415.01,1022.31,138.56,22697,0.98712,0.83773,"Males"
"AUS_1984","AUS","1984",0.000297795548528167,106.72,274.84,1462.4,1017.72,152.04,24009,0.9873,0.84564,"Males"
"AUS_1988","AUS","1988",0.000282834483470239,108.16,281.36,1417.54,1106.82,151.28,26702,0.98845,0.85378,"Males"
"AUS_1989","AUS","1989",0.000268402974253565,107.81,285.64,1408.61,1137.15,145.6,27407,0.98935,0.85921,"Males"
"AUS_1990","AUS","1990",0.000269695503543346,110,289.32,1424.33,1157.67,150.64,27373,0.98888,0.86398,"Males"
"AUS_1991","AUS","1991",0.000250802159923012,106.39,282.8,1390.73,1153.71,142.72,26861,0.99038,0.8692,"Males"
"AUS_1992","AUS","1992",0.000247153422158491,104.26,283.56,1373.39,1185.57,133.48,27560,0.99058,0.87254,"Males"
"AUS_1993","AUS","1993",0.000234146537849227,103.01,281,1322.72,1164.24,131.04,28622,0.99134,0.877,"Males"
"AUS_1994","AUS","1994",0.000235705791205344,105.46,284.08,1342.21,1147.95,137.76,29844,0.99139,0.87753,"Males"
"AUS_1995","AUS","1995",0.000223571724428681,107.76,276.56,1401.45,1128.51,154.48,30690,0.99224,0.88079,"Males"
"AUS_1996","AUS","1996",0.000221387607279105,105.69,275.76,1390.87,1124.37,147,31740,0.99244,0.88338,"Males"
"AUS_1997","AUS","1997",0.00021969622102857,103.99,269.68,1400.41,1143.63,146.28,32858,0.99257,0.8856,"Males"
"AUS_1998","AUS","1998",0.000220558490646762,101.34,270.12,1348.17,1123.47,135.24,34337,0.99262,0.88825,"Males"
"AUS_1999","AUS","1999",0.000220104128097186,101.28,272.76,1297.56,1174.32,132.36,35551,0.99277,0.89081,"Males"
"AUS_2000","AUS","2000",0.000220374433812241,101.3,271.48,1272.71,1170.09,133.72,36603,0.9928,0.89386,"Males"
"AUS_2001","AUS","2001",0.000214514982196695,100.78,270.64,1293.54,1208.34,132.48,37276,0.99317,0.89805,"Males"
"AUS_2002","AUS","2002",0.00021294607010159,104.81,273,1337.23,1180.53,146.24,38567,0.99328,0.90136,"Males"
"AUS_2003","AUS","2003",0.000208881878184922,109.64,280.4,1346.53,1178.91,158.16,39524,0.99351,0.90413,"Males"
"AUS_2004","AUS","2004",0.000208711529107035,101.5,263.6,1295.91,1206.09,142.4,40888,0.99348,0.90588,"Males"
"AUS_2005","AUS","2005",0.000206394504585227,104.91,280.32,1304.02,1235.34,139.32,41904,0.99355,0.9079,"Males"
"AUS_2006","AUS","2006",0.000199523115200502,104.6,280.56,1307.82,1290.78,137.84,42651,0.99376,0.90926,"Males"
"AUS_2007","AUS","2007",0.000191637792392077,108.33,292.92,1332.31,1295.37,140.4,44034,0.99398,0.91053,"Males"
"AUS_2008","AUS","2008",0.000184890062793595,106.45,276.92,1373.2,1269,148.88,44422,0.99417,0.91101,"Males"
"AUS_2009","AUS","2009",0.000185298612125683,103.33,272.2,1363.1,1292.58,141.12,44687,0.99411,0.91187,"Males"
"AUS_2010","AUS","2010",0.000184216687199159,107.33,287.62,1411.415,1337.265,141.72,45400,0.99417,0.91305,"Males"
"AUS_2011","AUS","2011",0.000180624673141938,108.27,295.4,1383.275,1367.145,137.68,46132,0.99436,0.91433,"Males"
"AUS_2012","AUS","2012",0.000168189910025917,107.305,290.18,1390.18,1389.6,139.06,46999,0.995,0.91599,"Males"
"AUS_2013","AUS","2013",0.000159804423091571,107.84,291.04,1417.345,1365.795,140.34,47250,0.99536,0.91645,"Males"
